text,priority
Please review the project report,Medium
Team meeting scheduled for tomorrow,Medium
Share the updated presentation,Medium
Reminder to complete feedback form,Medium
Discuss project requirements this week,Medium
Please update task status,Medium
Weekly progress review meeting,Medium
Need comments on draft document,Medium
Schedule a call for project discussion,Medium
Please send attendance sheet,Medium
Workshop registration confirmation,Medium
Request for internship certificate,Medium
Kindly check the attached assignment,Medium
Project discussion postponed to next week,Medium
Please update your resume for placement drive,Medium
Can we meet tomorrow afternoon,Medium
Share meeting notes when available,Medium
Reminder to upload lab record,Medium
Need clarification on coding task,Medium
Please review my resume once,Medium
Please review the project report,Medium
Team meeting scheduled for tomorrow,Medium
Share the updated presentation,Medium
Reminder to complete feedback form,Medium
Discuss project requirements this week,Medium
Please update task status,Medium
Weekly progress review meeting,Medium
Need comments on draft document,Medium
Schedule a call for project discussion,Medium
Please send attendance sheet,Medium
Workshop registration confirmation,Medium
Request for internship certificate,Medium
Kindly check the attached assignment,Medium
Project discussion postponed to next week,Medium
Please update your resume for placement drive,Medium
Can we meet tomorrow afternoon,Medium
Share meeting notes when available,Medium
Reminder to upload lab record,Medium
Need clarification on coding task,Medium
Please review my resume once,Medium
Thanks for lunch today,Low
Happy birthday and have a great day,Low
Coffee break at 4 PM,Low
Weekend movie plan,Low
See you in class tomorrow,Low
Congratulations on your achievement,Low
Thanks for your help,Low
Let us meet for dinner tonight,Low
Sharing some study notes,Low
Catch up sometime next week,Low
Good morning everyone,Low
Lunch was great thanks,Low
Thanks for the coffee,Low
See you at the cultural fest,Low
Movie tickets booked for Saturday,Low
Enjoy your weekend,Low
Had a nice lunch with the team,Low
Thank you for the birthday wishes,Low
Let us play cricket this weekend,Low
Sending class photos,Low
Thanks for lunch today,Low
Happy birthday and have a great day,Low
Coffee break at 4 PM,Low
Weekend movie plan,Low
See you in class tomorrow,Low
Congratulations on your achievement,Low
Thanks for your help,Low
Let us meet for dinner tonight,Low
Sharing some study notes,Low
Catch up sometime next week,Low
Good morning everyone,Low
Lunch was great thanks,Low
Thanks for the coffee,Low
See you at the cultural fest,Low
Movie tickets booked for Saturday,Low
Enjoy your weekend,Low
Had a nice lunch with the team,Low
Thank you for the birthday wishes,Low
Let us play cricket this weekend,Low
Sending class photos,Low
Thanks for lunch today,Low
Happy birthday and have a great day,Low
Coffee break at 4 PM,Low
Weekend movie plan,Low
See you in class tomorrow,Low
Congratulations on your achievement,Low
Thanks for your help,Low
Let us meet for dinner tonight,Low
Sharing some study notes,Low
Catch up sometime next week,Low
Good morning everyone,Low
Lunch was great thanks,Low
Thanks for the coffee,Low
See you at the cultural fest,Low
Movie tickets booked for Saturday,Low
Enjoy your weekend,Low
Had a nice lunch with the team,Low
Thank you for the birthday wishes,Low
Let us play cricket this weekend,Low
Sending class photos,Low
Thanks for lunch today,Low
Happy birthday and have a great day,Low
Coffee break at 4 PM,Low
Weekend movie plan,Low
See you in class tomorrow,Low
Congratulations on your achievement,Low
Thanks for your help,Low
Let us meet for dinner tonight,Low
Sharing some study notes,Low
Catch up sometime next week,Low
Good morning everyone,Low
Lunch was great thanks,Low
Thanks for the coffee,Low
See you at the cultural fest,Low
Movie tickets booked for Saturday,Low
Enjoy your weekend,Low
Had a nice lunch with the team,Low
Thank you for the birthday wishes,Low
Let us play cricket this weekend,Low
Sending class photos,Low
